Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Radhe,"Action,Crime,Thriller",1.9,2021,0,109.0,179735
The Sleepover,"Action,Adventure,Comedy",5.7,2020,0,100.0,11888
Rashmi Rocket,"Drama,Sport",7.3,2021,0,129.0,12533
Mimi,"Comedy,Drama",7.8,2021,0,132.0,42844
Tell Me Who I Am,"Documentary,Drama,Mystery",7.6,2019,0,86.0,16381
Malik,"Action,Biography,Crime",8.0,2021,0,162.0,13787
Freaky,"Comedy,Horror,Thriller",6.3,2020,0,102.0,71022
Shikara,"Drama,History,Romance",3.4,2020,0,118.0,15447
Titane,"Drama,Horror,Sci-Fi",6.5,2021,0,108.0,54788
The Heist of the Century,"Action,Biography,Comedy",7.1,2020,0,114.0,10114
Ant-Man and the Wasp: Quantumania,"Action,Adventure,Comedy",6.1,2023,0,124.0,221041
Old,"Drama,Horror,Mystery",5.8,2021,0,108.0,157451
Nope,"Horror,Mystery,Sci-Fi",6.8,2022,0,130.0,258408
Things Heard & Seen,"Drama,Horror,Mystery",5.3,2021,0,121.0,35663
Thappad,Drama,7.0,2020,0,142.0,26608
C'mon C'mon,Drama,7.4,2021,0,109.0,38034
Miami Bici,"Comedy,Crime",6.1,2020,0,98.0,10774
Spirited,"Comedy,Family,Musical",6.6,2022,0,127.0,49701
Pig,"Drama,Mystery",6.9,2021,0,92.0,87717
Home Sweet Home Alone,"Comedy,Crime,Family",3.6,2021,0,93.0,20180
The Babysitter: Killer Queen,"Comedy,Horror",5.8,2020,0,101.0,49910
Haseen Dillruba,"Crime,Drama,Mystery",6.9,2021,0,135.0,29582
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Action,Adventure,Animation",8.2,2020,0,117.0,70958
The Machine,"Action,Comedy",5.8,2023,0,112.0,14715
Nocturne,"Drama,Horror,Music",5.7,2020,0,90.0,11329
Toofaan,"Action,Drama,Sport",6.2,2021,0,163.0,51996
The Christmas Chronicles: Part Two,"Adventure,Comedy,Family",6.0,2020,0,112.0,35469
The Map of Tiny Perfect Things,"Comedy,Fantasy,Romance",6.8,2021,0,98.0,27158
Wrath of Man,"Action,Crime,Thriller",7.1,2021,0,119.0,203106
"Love, Guaranteed","Comedy,Romance",5.6,2020,0,90.0,18845
Cirkus,"Comedy,Drama",4.5,2022,0,139.0,23390
Troll,"Action,Adventure,Drama",5.8,2022,0,101.0,48215
Blue Bayou,Drama,7.1,2021,0,117.0,10123
The Addams Family 2,"Adventure,Animation,Comedy",5.4,2021,0,93.0,15391
Boiling Point,"Drama,Thriller",7.5,2021,0,92.0,40582
The Paramedic,"Crime,Drama,Thriller",5.7,2020,0,94.0,14482
Clerks III,"Comedy,Drama",6.2,2022,0,100.0,18073
The Northman,"Action,Adventure,Drama",7.0,2022,0,137.0,247634
The Wolf of Snow Hollow,"Comedy,Horror,Mystery",6.2,2020,0,85.0,24045
Pagglait,"Comedy,Drama",6.9,2021,0,114.0,10167
